,Id,Mas Vnr Area,Full Bath,Wood Deck SF,Total Bsmt SF,Garage Area,Lot Shape,Kitchen Qual,Garage Finish,Heating QC,BsmtFin Type 1
105,1988,0.0,1,58,686,0,1,2,4,2,2
106,2325,112.0,2,190,697,420,2,2,1,2,2
107,114,0.0,3,0,1224,678,2,3,2,3,2
108,2700,0.0,2,0,1921,576,1,3,3,3,6
109,217,72.0,2,0,1832,0,1,3,4,3,2
110,343,440.0,2,80,1434,528,1,3,2,3,5
111,386,0.0,2,0,1058,588,1,2,1,1,6
112,2005,0.0,2,0,0,384,1,3,2,1,7
113,2908,0.0,1,36,1140,0,1,3,4,1,6
114,1814,0.0,2,402,1482,514,4,2,2,1,1
115,2446,1378.0,3,361,1930,807,2,2,1,1,1
116,208,0.0,2,344,360,672,1,2,3,2,6
117,1679,304.0,2,0,630,440,1,3,3,3,6
118,822,364.0,2,208,1720,846,2,1,2,1,1
119,6,20.0,2,360,926,470,2,2,1,1,1
120,1781,754.0,2,76,1966,1092,2,1,1,1,1
121,2397,788.0,2,177,1085,753,2,1,1,1,6
122,2340,230.0,2,156,1714,517,1,2,1,1,1
123,1618,0.0,2,0,794,388,3,3,1,2,1
124,2843,0.0,1,0,795,440,1,3,3,3,6
125,1061,368.0,2,192,1414,1003,2,1,1,1,1
126,2786,0.0,1,0,864,288,2,3,2,1,4
127,1935,0.0,1,0,1008,240,1,2,3,2,3
128,1341,0.0,1,0,565,355,2,3,2,3,2
129,521,120.0,2,212,1530,984,2,2,2,1,6
130,2136,113.0,2,127,1015,370,2,3,3,3,1
131,996,0.0,2,100,943,472,2,3,1,2,1
132,227,0.0,1,192,720,480,1,3,3,1,4
133,135,216.0,1,238,1080,315,2,2,3,2,1
134,1167,216.0,2,0,744,440,1,3,3,2,1
135,294,371.0,1,0,1528,312,2,3,3,1,2
136,1776,0.0,2,0,1369,605,1,2,3,1,6
137,540,0.0,1,248,1114,576,1,2,3,1,6
138,1717,182.0,1,110,1302,631,1,2,2,1,2
139,2303,0.0,1,330,816,264,2,3,1,3,2
140,116,0.0,1,0,1161,676,1,2,2,3,2
141,127,0.0,1,366,1078,240,1,2,3,2,1
142,1371,0.0,1,57,756,216,1,3,3,1,6
143,1014,0.0,1,0,1632,495,2,3,3,3,6
144,1507,0.0,1,0,0,0,1,3,4,2,7
145,702,360.0,2,0,960,400,1,3,3,2,6
146,750,0.0,2,0,1048,576,1,3,3,2,6
147,261,153.0,1,0,689,299,2,3,1,1,1
148,1559,0.0,1,0,592,216,1,4,3,1,6
149,577,0.0,1,228,1740,540,1,2,2,3,5
150,2812,0.0,2,0,860,565,2,2,2,1,6
151,2080,0.0,1,366,988,332,1,2,3,1,3
152,1368,0.0,1,0,901,0,2,3,4,2,6
153,2376,0.0,1,175,864,288,1,3,2,3,2
154,659,0.0,1,316,768,240,1,2,3,1,6
155,1235,151.0,1,0,1098,260,2,3,3,3,2
156,332,0.0,1,0,546,0,1,3,4,1,6
157,1917,0.0,1,0,936,315,1,2,2,3,2
158,2094,0.0,2,72,1104,833,2,2,2,1,3
159,1460,396.0,2,0,1055,905,1,2,1,1,6
160,1471,215.0,2,140,1478,508,1,2,1,1,1
161,1509,0.0,1,0,768,240,1,3,3,1,3
162,1922,0.0,1,390,1056,260,1,3,3,3,3
163,433,472.0,2,360,2630,762,1,1,1,1,1
164,460,500.0,2,192,1451,539,1,1,2,1,6
165,1116,468.0,2,144,1563,758,1,2,2,1,1
166,1137,0.0,1,0,1114,576,1,2,3,1,1
167,53,14.0,2,100,1145,437,1,2,1,1,1
168,2354,0.0,2,0,960,541,2,2,1,1,2
169,1475,50.0,2,0,1445,470,1,2,3,1,1
170,1761,0.0,3,171,2396,813,2,1,1,1,1
171,842,0.0,1,0,990,480,1,3,3,1,2
172,2739,96.0,2,453,1776,528,2,3,1,1,2
173,2509,0.0,2,0,600,480,1,2,2,1,6
174,1007,0.0,2,143,712,409,2,2,1,1,6
175,2610,0.0,1,0,912,440,2,2,2,3,4
176,1952,0.0,1,0,691,216,1,1,3,1,6
177,2719,99.0,2,32,1949,586,1,3,2,3,4
178,2921,0.0,1,0,546,286,1,3,3,3,4
179,1966,0.0,1,0,1242,324,1,3,2,2,4
180,292,0.0,1,0,894,0,1,3,4,1,6
181,1204,342.0,2,0,832,486,1,3,2,2,3
182,1829,0.0,2,220,1192,518,2,2,2,3,5
183,2419,0.0,2,100,738,440,2,2,1,1,6
184,391,174.0,2,0,1064,478,1,3,2,3,6
185,798,0.0,1,0,560,280,1,3,3,3,4
186,481,0.0,2,0,782,400,2,2,1,1,1
187,193,0.0,1,0,1108,315,2,2,3,3,3
188,555,0.0,1,0,980,400,2,3,3,2,5
189,899,0.0,1,0,0,528,1,4,3,4,7
190,2357,0.0,2,0,832,528,1,3,2,3,1
191,328,0.0,1,174,945,253,1,3,2,1,1
192,1356,0.0,1,0,816,275,1,4,1,1,4
193,1154,0.0,1,0,864,276,1,3,3,3,2
194,1730,0.0,2,0,783,393,1,2,1,1,6
195,2249,0.0,1,0,888,470,2,3,2,1,1
196,1119,310.0,2,168,955,880,1,2,1,1,1
197,2856,0.0,2,0,992,240,1,3,3,4,5
198,1394,0.0,1,280,533,300,1,3,2,3,6
199,2587,0.0,1,0,301,684,1,3,3,1,3
200,61,114.0,2,23,1629,962,3,2,1,1,6
201,2661,0.0,2,0,1226,432,1,3,3,1,6
202,2711,0.0,1,77,912,336,2,3,3,3,1
203,1147,120.0,2,144,832,506,2,2,2,1,1
204,757,0.0,1,0,483,379,3,2,3,1,6
205,2623,0.0,1,0,0,420,1,3,3,3,7
206,2378,0.0,2,0,855,460,1,3,2,2,2
207,1413,216.0,1,0,621,280,1,3,3,3,4
208,1722,178.0,2,120,1370,484,2,2,2,1,1
209,1112,74.0,2,100,894,668,2,2,1,1,6
210,1623,0.0,2,256,923,451,2,3,1,2,2
211,1201,270.0,2,0,901,540,1,2,2,3,2
212,1513,0.0,1,0,949,205,1,2,3,3,2
213,957,0.0,2,0,2136,513,4,3,2,3,2
214,1171,260.0,2,124,1557,484,2,1,2,1,1
215,1145,0.0,2,192,836,506,1,2,1,2,1
216,2726,123.0,1,0,1865,521,1,3,3,3,4
217,703,0.0,1,0,651,240,1,3,3,2,6
218,760,0.0,1,0,858,0,1,2,4,3,3
219,1964,0.0,1,0,1040,286,1,2,2,1,1
220,2512,218.0,2,0,691,506,1,2,3,1,1
221,159,0.0,0,264,1056,576,1,3,3,2,1
222,1281,415.0,1,0,780,483,1,3,2,3,3
223,468,0.0,2,100,684,400,3,2,1,1,6
224,290,0.0,1,0,856,399,1,3,3,3,4
225,665,0.0,1,0,720,576,1,2,1,3,6
226,1463,0.0,2,0,1128,779,1,2,3,1,6
227,1792,0.0,2,240,982,574,1,2,2,1,6
228,923,0.0,1,483,1273,307,2,3,3,1,4
229,500,921.0,2,220,1264,889,2,2,2,1,6
230,1408,0.0,1,0,1580,0,1,4,4,1,2
231,331,0.0,1,96,630,0,1,3,4,1,5
232,170,771.0,1,84,709,240,1,3,3,3,2
233,2192,0.0,1,0,768,355,1,3,3,3,3
234,2571,0.0,2,0,1360,795,1,2,3,2,1
235,2314,0.0,2,315,691,409,3,3,1,2,2
236,2647,0.0,1,50,844,216,1,3,3,3,6
237,422,726.0,3,135,1776,754,1,1,1,1,1
238,2457,0.0,1,192,2077,1134,3,1,1,1,1
239,1838,0.0,2,0,1352,466,1,2,2,1,6
240,2805,0.0,2,0,1079,685,1,2,2,1,6
241,1645,0.0,2,0,1284,480,2,3,3,3,1
242,1711,340.0,2,104,1181,656,1,1,1,1,6
243,2825,0.0,2,0,1150,502,2,2,1,1,6
244,322,0.0,2,144,2002,746,2,1,1,1,6
245,2103,306.0,2,192,1643,870,2,2,2,1,6
246,342,0.0,1,0,882,502,2,3,3,3,4
247,600,0.0,1,0,894,396,1,3,3,2,2
248,488,16.0,2,100,982,463,2,3,1,1,6
249,1725,362.0,2,210,1869,617,2,1,2,1,6
250,2246,473.0,2,123,1573,495,2,2,1,2,1
251,2847,0.0,1,0,940,240,1,3,3,1,5
252,806,0.0,2,0,1128,466,2,2,2,1,1
253,530,0.0,2,182,912,615,1,2,1,1,6
254,963,0.0,2,0,1392,576,2,2,3,3,1
255,2678,0.0,1,0,728,258,1,3,3,1,4
256,171,0.0,1,0,576,0,1,3,4,2,6
257,2401,870.0,2,0,1848,706,3,1,1,1,1
258,805,0.0,2,400,1079,473,1,2,2,1,1
259,2259,1224.0,2,274,585,461,1,2,2,2,6
260,1748,0.0,2,100,384,400,2,2,1,1,1
261,1361,0.0,1,0,768,308,1,3,3,3,4
262,1677,285.0,1,144,672,264,1,3,3,3,3
263,1406,216.0,1,0,1094,495,2,3,2,1,4
264,2322,0.0,2,0,868,422,4,2,2,1,6
265,688,420.0,1,0,780,483,1,3,3,3,6
266,143,0.0,1,250,1314,294,1,3,2,3,4
267,804,137.0,2,234,740,425,1,2,3,1,2
268,1214,259.0,1,176,1248,520,1,3,2,3,1
269,2828,82.0,1,0,547,525,1,3,1,2,1
270,1999,0.0,2,0,1214,506,1,3,3,1,4
271,2467,0.0,2,0,770,614,1,2,2,1,6
272,2665,0.0,1,36,596,576,1,2,3,1,6
273,1538,632.0,3,314,728,1014,2,2,3,1,4
274,398,0.0,1,210,864,576,1,3,3,3,2
275,2822,0.0,1,0,1176,360,1,3,3,3,2
276,2157,170.0,1,140,848,420,1,2,1,1,1
277,1856,0.0,1,168,1360,588,2,2,3,1,2
278,1269,0.0,1,0,0,420,1,3,3,2,7
279,2570,0.0,1,0,936,286,1,3,3,3,5
280,2320,0.0,2,0,893,800,2,2,1,1,6
281,1517,0.0,2,0,672,400,2,4,3,3,3
282,2304,0.0,1,0,974,0,1,3,4,3,3
283,1312,0.0,1,0,346,308,1,3,3,1,6
284,2012,0.0,1,0,735,440,1,3,3,1,2
285,506,0.0,2,168,973,467,3,2,1,1,1
286,2865,0.0,2,0,952,360,2,3,3,3,4
287,2367,408.0,1,72,483,264,1,3,3,3,3
288,554,0.0,1,0,784,360,1,3,3,3,6
289,238,0.0,1,44,1144,596,1,3,3,3,3
290,1954,53.0,1,0,920,240,2,3,3,2,2
291,2488,0.0,2,0,0,528,1,3,2,3,7
292,2291,0.0,1,0,546,286,1,3,3,1,6
293,1969,0.0,1,0,0,300,1,3,1,2,7
294,2725,0.0,1,304,1188,576,1,3,3,2,4
295,1482,147.0,1,149,848,420,1,2,2,1,1
296,2763,532.0,2,144,784,610,2,2,2,1,6
297,503,286.0,2,296,1070,647,1,2,1,1,1
298,1584,206.0,2,185,1432,467,2,2,1,1,1
299,1531,0.0,1,0,784,599,2,3,3,3,6
300,2210,423.0,2,0,979,492,2,3,3,3,4
301,459,308.0,2,231,1884,649,2,1,1,1,1
302,556,153.0,1,192,980,484,1,3,3,3,3
303,1347,0.0,2,0,1100,576,1,3,3,3,5
304,1290,0.0,1,0,672,256,1,3,3,3,6
305,1388,0.0,1,0,1006,0,1,3,4,3,1
306,1571,0.0,2,670,1499,529,2,3,1,1,2
307,2754,0.0,2,168,1286,662,1,2,2,1,6
308,765,0.0,2,0,1152,252,2,3,3,3,1
309,2494,0.0,1,0,1024,308,2,3,3,3,4
310,2870,405.0,2,0,1168,342,1,3,1,2,1
311,7,0.0,2,0,1338,582,1,2,1,1,1
312,1114,128.0,2,0,1578,642,2,2,3,2,1
313,2418,236.0,2,120,1052,632,2,2,1,1,6
314,291,0.0,3,0,0,0,1,3,4,3,7
315,18,350.0,1,113,1856,834,1,1,1,1,1
316,39,450.0,2,168,1930,606,2,1,1,1,1
317,1001,0.0,1,0,1664,528,2,2,1,1,1
318,2442,302.0,2,192,975,429,2,2,1,1,6
319,616,161.0,1,0,709,352,2,2,3,3,5
320,2680,0.0,1,0,0,0,1,3,4,2,7
321,1414,0.0,1,0,861,384,1,3,3,1,4
322,289,0.0,2,0,1026,308,1,2,3,3,5
323,40,256.0,2,0,1544,868,2,2,2,1,6
324,860,0.0,1,215,894,600,1,3,2,3,4
325,409,0.0,2,0,958,440,2,3,2,3,5
326,673,0.0,1,0,992,756,2,3,3,3,3
327,2427,14.0,2,90,1142,440,1,2,1,1,1
328,2036,0.0,1,285,976,299,1,2,1,1,5
329,2564,0.0,1,245,704,234,1,3,3,2,6
330,642,657.0,2,0,1866,495,1,3,3,1,6
331,1008,194.0,2,0,836,416,1,2,1,2,2
332,1908,567.0,2,0,928,400,1,3,3,2,4
333,2519,0.0,1,133,1235,484,2,3,1,2,1
334,1369,0.0,1,40,451,576,1,3,3,3,6
335,2855,0.0,1,0,793,216,1,3,3,2,5
336,712,0.0,1,0,624,287,1,3,3,3,6
337,1943,0.0,2,231,925,0,1,3,4,2,6
338,1958,206.0,1,0,1082,240,1,3,3,3,3
339,107,0.0,1,133,728,484,2,2,1,3,1
340,2295,0.0,1,690,1160,672,2,2,2,3,2
341,704,0.0,1,80,801,0,1,3,4,2,6
342,676,0.0,1,0,832,288,1,3,3,2,4
343,259,116.0,2,0,804,523,1,2,2,1,1
344,93,180.0,2,198,1390,713,1,2,2,1,1
345,106,0.0,2,280,975,592,2,2,2,1,1
346,2315,0.0,2,286,821,443,2,3,1,2,6
347,1050,65.0,1,0,864,264,1,3,2,3,4
348,1095,0.0,2,100,788,388,2,2,1,1,1
349,2709,305.0,1,314,1064,528,2,3,3,3,2
350,758,188.0,2,0,1020,0,4,3,4,3,4
351,1496,0.0,1,0,684,440,1,3,1,3,2
352,2370,281.0,1,0,672,264,1,3,3,2,3
353,2458,420.0,2,322,1660,500,2,2,2,1,1
354,2733,0.0,1,237,967,504,1,3,2,1,4
355,161,300.0,2,240,710,564,1,2,1,1,6
356,726,0.0,1,0,741,640,1,2,3,1,6
357,845,0.0,2,0,1431,666,2,2,1,1,1
358,947,0.0,2,210,1107,642,1,2,1,1,2
359,2232,0.0,2,0,793,0,1,4,4,3,6
360,2563,0.0,1,0,806,240,1,4,3,3,3
361,2299,198.0,1,152,1396,444,1,3,3,3,3
362,211,0.0,1,0,689,180,2,5,3,2,6
363,605,95.0,2,0,1584,888,1,3,3,3,6
364,1478,0.0,2,0,1234,484,1,2,2,1,6
365,2247,481.0,2,123,1573,538,2,2,1,1,1
366,2274,226.0,1,0,1572,995,1,3,2,2,4
367,2869,459.0,2,0,1430,621,1,2,1,1,2
368,967,0.0,2,124,912,486,2,2,1,1,6
369,2656,0.0,1,142,1162,220,1,3,3,1,2
370,667,480.0,2,0,1248,907,1,3,2,3,6
371,1042,422.0,1,411,483,352,1,3,3,2,5
372,2023,0.0,1,0,764,520,1,3,3,1,6
373,2447,877.0,2,247,1540,774,2,1,2,1,1
374,2055,0.0,1,0,814,240,1,3,3,2,5
375,2275,100.0,2,0,1732,712,2,2,1,1,1
376,2204,0.0,1,0,912,216,1,2,3,2,6
377,1563,174.0,2,128,1594,482,2,2,1,1,1
378,483,166.0,2,172,1314,626,1,2,2,1,1
379,796,149.0,2,0,1049,266,1,2,1,3,1
380,1526,0.0,2,0,840,308,1,3,3,1,6
381,2042,0.0,1,0,925,308,2,3,3,3,6
382,442,285.0,2,200,1774,850,2,1,1,1,1
383,1693,190.0,2,120,1108,670,1,1,1,1,6
384,1468,0.0,2,144,915,493,1,2,3,1,1
385,1430,0.0,2,339,1182,438,2,3,3,1,5
386,2605,0.0,2,142,954,520,1,3,3,3,3
387,1529,0.0,2,85,798,180,1,2,3,1,2
388,335,189.0,1,261,1188,312,2,3,3,3,4
389,1287,0.0,1,0,780,400,1,3,3,1,6
390,31,492.0,1,0,525,320,1,3,3,3,4
391,1785,205.0,2,171,1726,786,1,1,1,1,1
392,82,130.0,2,0,650,476,1,3,3,3,6
393,2620,0.0,1,199,910,597,1,2,3,2,4
394,252,0.0,2,0,1226,740,2,2,2,1,6
395,721,0.0,1,0,624,0,1,3,4,1,6
396,2165,0.0,2,0,1330,437,1,2,1,1,6
397,2316,0.0,2,95,802,413,2,3,1,2,1
398,775,0.0,1,120,858,576,2,3,3,3,1
399,1558,0.0,1,0,894,1248,1,3,2,3,6
400,17,0.0,2,325,559,492,2,3,2,2,1
401,1022,194.0,2,467,1782,551,1,2,1,3,2
402,925,0.0,1,192,731,186,2,3,3,1,6
403,438,250.0,2,169,1709,908,2,2,2,1,6
404,1270,0.0,2,0,1075,404,1,3,3,2,2
405,1272,0.0,1,0,1027,299,1,3,3,3,3
406,215,0.0,2,56,856,450,1,3,3,2,5
407,266,223.0,2,192,941,613,2,2,2,1,1
408,2402,280.0,2,179,1058,736,1,1,1,1,1
409,1250,0.0,1,0,952,840,1,3,3,3,2
410,1984,435.0,1,0,907,672,1,3,3,3,4
411,1279,0.0,1,0,768,480,1,3,3,2,1
412,377,229.0,2,178,1043,441,2,2,2,3,2
413,1252,0.0,2,0,0,301,1,3,1,2,7
414,2156,438.0,2,0,1220,556,1,2,2,1,1
415,499,975.0,2,250,1225,676,2,2,1,1,1
416,1374,0.0,2,0,720,312,1,3,3,3,6
417,2898,0.0,2,0,1216,693,3,3,1,1,5
418,401,0.0,1,216,864,576,1,3,3,2,2
419,2721,67.0,2,0,1134,484,1,3,2,1,4
420,2078,300.0,3,0,1288,527,2,2,1,1,5
421,2589,0.0,1,0,1056,300,1,3,1,2,4
422,1946,0.0,3,0,666,1200,1,2,3,2,6
423,1334,0.0,1,38,554,200,1,3,3,1,6
424,2781,150.0,2,468,1541,843,2,2,2,1,6
425,431,305.0,2,156,2006,900,1,1,1,1,1
426,576,0.0,1,133,1226,484,2,2,1,3,1
427,1474,196.0,2,0,856,548,1,2,2,1,1
428,2254,50.0,1,192,852,360,2,3,3,3,4
429,2155,215.0,2,257,1626,702,2,2,1,1,1
430,885,0.0,2,0,0,520,1,2,1,1,7
431,643,80.0,1,0,1062,297,2,3,3,2,2
432,1944,0.0,1,0,845,576,1,2,3,3,2
433,480,0.0,2,300,846,434,2,2,1,1,6
434,2845,0.0,1,212,616,275,1,2,3,3,6
435,2387,380.0,3,240,1158,853,2,2,2,1,6
436,2407,94.0,2,132,1368,474,2,2,2,1,6
437,2527,420.0,2,0,708,776,1,3,2,2,2
438,2514,0.0,2,0,530,496,2,2,2,1,6
439,629,216.0,1,0,1392,576,1,3,2,2,6
440,80,0.0,2,370,996,457,2,2,2,1,3
441,1876,196.0,2,0,1214,318,2,3,2,3,3
442,1546,0.0,1,0,720,240,1,3,3,2,6
443,2518,0.0,1,198,1208,546,2,3,2,3,2
444,2347,130.0,1,140,988,582,2,3,2,3,1
445,783,0.0,1,0,1437,452,2,1,3,1,1
446,1322,0.0,1,0,723,400,1,3,3,3,6
447,194,0.0,1,135,765,200,1,2,3,3,4
448,1770,594.0,2,239,1379,834,2,2,1,1,1
449,2143,0.0,1,155,864,576,1,1,1,2,2
450,1229,288.0,1,60,864,492,2,2,3,3,2
451,511,260.0,2,0,1702,844,1,2,2,1,1
452,46,128.0,2,192,1358,484,2,2,2,1,1
453,1348,0.0,2,90,952,468,1,3,3,2,6
454,2465,0.0,2,0,756,615,1,2,2,1,6
455,387,0.0,2,225,972,565,1,2,2,1,1
456,873,209.0,2,60,1417,511,1,2,3,1,1
457,1918,54.0,1,0,1008,308,2,4,3,1,1
458,2764,0.0,2,120,908,506,2,2,1,1,1
459,2184,0.0,1,144,960,392,1,4,3,1,4
460,934,0.0,1,176,561,462,1,2,1,3,2
461,1920,0.0,1,0,1056,308,1,3,2,4,4
462,2631,266.0,1,188,660,453,1,3,2,3,3
463,1768,1170.0,3,382,2444,832,2,1,1,1,1
464,2040,0.0,1,0,1196,440,1,3,3,1,5
465,1749,0.0,2,100,847,434,2,2,1,1,6
466,834,0.0,2,150,1449,525,2,2,3,2,1
467,1457,227.0,2,0,1257,570,1,2,2,1,6
468,79,0.0,1,353,744,264,1,3,3,3,2
469,2302,0.0,1,168,816,264,1,3,3,3,2
470,1817,0.0,1,240,840,504,2,2,2,2,2
471,2755,240.0,2,144,1614,865,2,2,2,1,1
472,359,0.0,2,0,707,409,2,2,1,2,1
473,2059,89.0,1,0,876,264,2,3,2,3,4
474,2092,246.0,2,127,700,746,1,2,2,2,2
475,2516,0.0,2,0,1568,564,2,2,2,1,6
476,150,0.0,1,0,864,318,1,4,3,3,3
477,1656,263.0,2,208,780,462,1,3,1,1,4
478,83,0.0,1,121,816,429,1,3,3,3,6
479,2411,0.0,2,100,1316,397,1,2,1,1,1
480,795,0.0,1,186,0,290,2,3,3,1,7
481,2312,285.0,2,0,964,642,2,2,1,2,6
482,2917,0.0,1,0,630,0,1,1,4,1,1
483,1624,0.0,2,0,691,420,1,2,1,2,4
484,2215,0.0,2,0,965,380,1,3,3,3,3
485,1211,0.0,1,426,1136,384,1,3,2,3,4
486,1485,169.0,1,140,848,420,1,2,1,1,1
487,1024,621.0,2,0,1211,461,1,2,1,3,2
488,570,252.0,1,0,1145,641,2,2,1,1,1
489,2874,0.0,1,96,861,506,1,3,1,1,2
490,700,0.0,2,0,994,432,1,3,2,3,6
491,2756,0.0,2,351,1498,675,2,2,2,1,6
492,2022,0.0,2,0,1100,408,1,3,3,1,6
493,583,240.0,2,235,1107,484,2,3,2,1,2
494,2392,286.0,3,147,1175,736,2,1,1,1,1
495,2424,18.0,2,144,1375,398,1,2,1,1,6
496,212,0.0,1,0,1212,0,1,3,4,3,4
497,736,0.0,1,0,884,216,1,3,3,1,6
498,1610,232.0,2,305,784,530,2,3,2,1,2
499,890,0.0,1,0,1014,544,1,3,1,3,1
500,467,0.0,2,36,742,390,3,2,1,1,6
501,578,200.0,2,0,392,527,1,3,3,1,6
502,1747,0.0,2,100,835,437,3,2,1,1,1
503,1149,0.0,2,0,1199,530,1,2,2,1,1
504,2758,0.0,2,0,1836,495,1,2,2,2,1
505,857,90.0,1,0,864,336,2,3,3,1,2
506,2219,0.0,2,0,853,440,1,2,3,3,4
507,733,0.0,1,0,952,192,1,4,3,4,6
508,2909,0.0,1,141,264,336,1,3,2,3,6
509,1798,0.0,2,208,1088,1025,1,2,2,1,6
